Date,Sales Representative,Product/Service,Region/Location,Customer,Sales Amount (INR),Units Sold,Sales Channel,Discount Offered (INR or %),Profit (INR),Cost of Goods Sold (COGS) (INR),Order Status,Payment Method,Lead Source
2024-12-09,Vikram,Camera,Mumbai,Michael Khurana,76367,2,Online,2654.0,21987.50694281714,51725.49305718286,Cancelled,Net Banking,Email
2024-02-25,Sushma,Bluetooth Speaker,Delhi,Gayathri Shetty,7232,2,Retail,1482.2357465070031,2924.197034816498,2825.5672186764987,Returned,Credit Card,Advertisement
2024-05-25,Anjali,Camera,Delhi,Jackson Sura,46826,2,Retail,3131.350974267864,11638.763159852768,32055.88586587937,Shipped,Net Banking,Email
2024-08-03,Manoj,Air Conditioner,Jaipur,Jairaj Sankaran,57485,1,Online,3657.520706236339,18322.250737278366,35505.228556485294,Completed,Credit Card,Advertisement
2024-07-22,Priya,Laptop,Chennai,Manan Gopal,64998,2,Retail,3796.0,18372.67487795725,42829.32512204275,Pending,Cash on Delivery (COD),Email
2024-08-31,Rajesh,Bluetooth Speaker,Jaipur,Ubika Khatri,2890,2,Online,282.9244453053302,1396.6287965051035,1210.4467581895663,Completed,UPI,Search Engine
2024-11-04,Neha,Smartwatch,Chennai,Nidra Varughese,8082,1,Online,1992.0,1338.01228029696,4751.98771970304,Returned,Credit Card,Direct Visit
2024-01-20,Sushma,Laptop,Hyderabad,Lopa Vala,89785,2,Retail,1298.0,27213.155241666835,61273.844758333165,Shipped,UPI,Advertisement
2024-07-17,Neha,Tablet,Bangalore,Harrison Shere,31605,2,Online,4941.0,10007.391070991482,16656.60892900852,Shipped,Cash on Delivery (COD),Search Engine
2024-09-03,Manoj,Washing Machine,Mumbai,Anthony Bandi,24935,1,Online,926.0,12735.868552429147,11273.131447570853,Cancelled,Net Banking,Advertisement
2024-06-03,Vikram,Camera,Delhi,Niharika Sachdeva,88918,2,Retail,1003.0,40113.930372778246,47801.069627221754,Returned,UPI,Referral
2024-01-28,Manoj,Headphones,Bangalore,Niharika Sachdeva,6176,3,Online,918.7734788560431,1634.476740998614,3622.749780145343,Returned,UPI,Advertisement
2024-02-22,Rajesh,Smartwatch,Jaipur,Triya Mohanty,3656,1,Retail,364.625008013599,1411.7427480049223,1879.6322439814787,Completed,Debit Card,Advertisement
2024-03-20,Neha,Bluetooth Speaker,Ahmedabad,Harrison Shere,6887,3,Online,1688.5272664184952,1444.6793327084126,3753.793400873092,Cancelled,Debit Card,Social Media
2024-11-15,Priya,Smartphone,Mumbai,Dalbir Karan,30538,3,Retail,792.0,10928.194782694121,18817.80521730588,Pending,Net Banking,Referral
2024-05-26,Sushma,Smartwatch,Delhi,Chakrika Kadakia,19390,1,Retail,1792.3821248166976,8695.542439267741,8902.075435915562,Completed,Net Banking,Social Media
2024-02-08,Anjali,Bluetooth Speaker,Kolkata,Brijesh Bandi,3813,4,Retail,229.54892811021995,2066.2750798450465,1517.1759920447334,Shipped,Debit Card,Email
2024-06-20,Amit,Washing Machine,Mumbai,Jairaj Sankaran,26501,2,Online,6557.207902476065,6939.226479656191,13004.565617867744,Shipped,Debit Card,Referral
2024-12-17,Sushma,Laptop,Pune,Manan Gopal,88420,1,Retail,21253.418584475807,1469.1684198435069,65697.41299568069,Completed,Debit Card,Search Engine
2024-07-26,Sushma,Tablet,Jaipur,Falan Mital,14283,1,Online,1303.0,5006.965359268463,7973.034640731537,Shipped,Net Banking,Advertisement
2024-09-14,Anjali,Bluetooth Speaker,Chennai,Dalbir Karan,2273,3,Retail,3833.0,-2549.785892244591,989.7858922445912,Cancelled,Net Banking,Direct Visit
2025-01-16,Priya,Camera,Chennai,Ekavir Warrior,16280,2,Online,2362.0,5623.935864060002,8294.064135939998,Cancelled,UPI,Email
2024-11-03,Ravi,Air Conditioner,Kolkata,Alka Gupta,65391,1,Online,13217.287870835678,15449.494379066362,36724.21775009796,Pending,UPI,Search Engine
2024-09-15,Vikram,Headphones,Hyderabad,Yadavi Bakshi,1368,2,Retail,3658.0,-3047.693959406147,757.6939594061466,Returned,Credit Card,Search Engine
2024-01-30,Ravi,Washing Machine,Chennai,Saumya Ratti,45756,1,Retail,1267.0,21020.41880792333,23468.58119207667,Cancelled,Cash on Delivery (COD),Social Media
2024-05-06,Sushma,Bluetooth Speaker,Kolkata,Orinder Anand,1495,1,Retail,4704.0,-3971.4541759473523,762.4541759473525,Completed,Cash on Delivery (COD),Search Engine
2024-04-05,Priya,Washing Machine,Lucknow,Shaurya Nigam,19679,2,Retail,4543.410622791903,4044.811809265567,11090.77756794253,Cancelled,Net Banking,Search Engine
2024-07-17,Anjali,Air Conditioner,Bangalore,Lopa Vala,41741,2,Online,3844.0,15898.096036521874,21998.903963478126,Returned,Credit Card,Direct Visit
2024-05-12,Sushma,Washing Machine,Chennai,Vedhika Ram,33493,1,Online,2817.0,12955.272736903284,17720.727263096716,Pending,Debit Card,Email
2024-07-08,Manoj,Headphones,Kolkata,Triya Mohanty,5633,4,Retail,4646.0,-2003.1385366868458,2990.138536686846,Shipped,Net Banking,Social Media
2024-10-30,Amit,Laptop,Hyderabad,Onkar Sodhi,147746,2,Retail,23093.05205697952,15397.522217816106,109255.42572520438,Returned,Credit Card,Direct Visit
2024-05-25,Karan,Washing Machine,Pune,Bhavna Nath,25933,1,Online,4452.972661604918,6319.567365909422,15160.45997248566,Cancelled,Credit Card,Referral
2024-05-31,Rajesh,Smartwatch,Jaipur,Gunbir Raman,23718,2,Online,2226.614589369044,7966.947170938391,13524.438239692565,Shipped,Credit Card,Email
2024-03-25,Amit,Tablet,Lucknow,Gayathri Shetty,17808,2,Online,4033.0,3605.634804474561,10169.365195525439,Shipped,Debit Card,Search Engine
2024-09-02,Vikram,Laptop,Chennai,Chanakya Mannan,119957,2,Retail,1964.0,29291.439844593755,88701.56015540625,Returned,Debit Card,Email
2024-08-05,Manoj,Refrigerator,Chennai,Chanakya Mannan,27450,2,Online,5346.269543945344,4929.147073485792,17174.583382568864,Cancelled,UPI,Search Engine
2024-05-01,Ravi,Camera,Mumbai,Samuel Bedi,93805,2,Retail,2675.0,28325.908679985296,62804.091320014704,Pending,Cash on Delivery (COD),Referral
2024-07-11,Sushma,Washing Machine,Chennai,Onkar Sodhi,44093,2,Retail,10260.972752295778,10593.95274479284,23238.074502911382,Pending,UPI,Direct Visit
2024-10-29,Sushma,Air Conditioner,Lucknow,Nikita Bera,28178,1,Online,1315.0,9378.00381336777,17484.99618663223,Completed,Cash on Delivery (COD),Social Media
2024-12-25,Anjali,Air Conditioner,Mumbai,Vedant Saran,36592,1,Online,2017.1750133603018,15118.59707380256,19456.227912837137,Completed,Debit Card,Search Engine
2024-04-19,Priya,Refrigerator,Mumbai,Falan Mital,28105,2,Online,4493.424040227797,7291.3145142054655,16320.261445566737,Pending,Debit Card,Email
2024-05-26,Rajesh,Laptop,Lucknow,Ryan Konda,104660,2,Online,2039.0,26482.678978649157,76138.32102135084,Returned,Net Banking,Advertisement
2024-03-17,Karan,Camera,Jaipur,Bina Kant,38803,2,Retail,7232.269254367748,6893.998699839696,24676.732045792556,Completed,Credit Card,Referral
2024-09-02,Ravi,Laptop,Hyderabad,Vedhika Ram,119174,1,Online,10770.474011610298,21029.804068057383,87373.72192033232,Cancelled,Credit Card,Direct Visit
2024-11-14,Anjali,Air Conditioner,Hyderabad,Ubika Khatri,53475,1,Online,5721.298016995644,20464.030887487806,27289.67109551655,Completed,Debit Card,Search Engine
2024-08-22,Amit,Washing Machine,Jaipur,Bhavna Nath,29516,1,Online,1646.0,12719.675813753227,15150.324186246773,Shipped,UPI,Direct Visit
2024-10-02,Amit,Camera,Ahmedabad,Balhaar Nadig,51522,1,Retail,4817.0,12441.792709050744,34263.207290949256,Completed,Credit Card,Email
2024-12-29,Manoj,Tablet,Hyderabad,Kalpit Sarkar,43438,2,Retail,495.0,16602.361972680577,26340.638027319423,Completed,UPI,Search Engine
2024-06-27,Sushma,Bluetooth Speaker,Delhi,Orinder Anand,1212,3,Retail,161.46595422857044,509.8177117897766,540.716333981653,Cancelled,Credit Card,Referral
2024-11-09,Manoj,Washing Machine,Pune,Jairaj Sankaran,27861,2,Retail,2380.0,9875.196054269447,15605.803945730553,Completed,Net Banking,Social Media
2024-08-18,Ravi,Air Conditioner,Pune,Zaid Tak,50812,2,Retail,5572.6040052149665,13551.829906595787,31687.566088189247,Completed,Cash on Delivery (COD),Referral
2024-08-06,Neha,Bluetooth Speaker,Ahmedabad,Yoshita Misra,8833,2,Online,1376.3058038886356,4306.32983141538,3150.364364695985,Pending,Cash on Delivery (COD),Referral
2024-03-02,Amit,Tablet,Jaipur,Jairaj Sankaran,10704,1,Retail,1575.0,3543.1844830492682,5585.815516950732,Shipped,Net Banking,Email
2024-10-30,Anjali,Smartwatch,Lucknow,Yoshita Misra,5657,1,Online,1425.0,1516.175486166303,2715.824513833697,Returned,Net Banking,Referral
2024-03-01,Ravi,Refrigerator,Chennai,Zansi Shankar,28785,2,Online,2423.761867633653,9715.398009498971,16645.840122867376,Returned,Cash on Delivery (COD),Email
2024-03-06,Rajesh,Air Conditioner,Jaipur,Kalpit Sarkar,54606,1,Retail,7742.119960151223,19517.39380146056,27346.486238388217,Completed,Cash on Delivery (COD),Direct Visit
2024-08-29,Rajesh,Bluetooth Speaker,Jaipur,Lopa Vala,1920,2,Retail,205.94394342992967,1009.0896200193979,704.9664365506723,Pending,Cash on Delivery (COD),Direct Visit
2024-12-19,Amit,Smartwatch,Kolkata,Fitan Hans,17959,1,Retail,3519.7832485811145,4610.228954034719,9828.987797384167,Returned,UPI,Search Engine
2024-02-08,Karan,Tablet,Delhi,Arjun Sama,50474,1,Online,728.0,17258.26612110773,32487.73387889227,Cancelled,UPI,Email
2024-10-27,Priya,Washing Machine,Mumbai,Garima Srivastava,39637,2,Online,5390.218587296907,15796.595523942375,18450.18588876072,Completed,UPI,Direct Visit
2024-09-26,Karan,Air Conditioner,Jaipur,Lajita Balasubramanian,62958,1,Online,14371.873005195184,12702.209335745576,35883.91765905924,Completed,Net Banking,Direct Visit
2024-10-26,Sushma,Laptop,Pune,Chaitanya Sachar,89497,2,Retail,1733.0,25892.80269709185,61871.19730290815,Returned,UPI,Advertisement
2024-11-01,Karan,Bluetooth Speaker,Hyderabad,Ekiya Palan,5110,3,Online,473.33682149536054,2821.235245508865,1815.4279329957744,Cancelled,Credit Card,Search Engine
2024-12-20,Rajesh,Smartphone,Kolkata,Yadavi Bakshi,38481,4,Online,7994.291201247087,6349.639081162954,24137.06971758996,Shipped,Cash on Delivery (COD),Referral
2024-11-14,Ravi,Refrigerator,Jaipur,Samesh Bawa,49683,2,Online,6350.6207222104495,17290.134124343265,26042.245153446285,Shipped,Net Banking,Search Engine
2024-03-04,Priya,Headphones,Lucknow,Bakhshi Subramanian,6095,2,Retail,1133.7953973869649,2485.7963496352136,2475.4082529778216,Pending,Net Banking,Search Engine
2024-10-01,Priya,Laptop,Pune,Netra Kashyap,55896,2,Retail,10136.28906247528,4496.098224432459,41263.61271309226,Shipped,UPI,Referral
2024-12-05,Manoj,Tablet,Bangalore,Ubika Kari,23075,2,Retail,414.0,9635.257072979031,13025.742927020969,Completed,Net Banking,Referral
2024-08-31,Anjali,Camera,Bangalore,Jairaj Sankaran,57090,2,Retail,4707.0,15653.41170967403,36729.58829032597,Shipped,Credit Card,Search Engine
2024-12-28,Sushma,Air Conditioner,Delhi,Bahadurjit Sahni,50447,1,Online,4351.928002477752,17005.468744180194,29089.603253342055,Shipped,Net Banking,Email
2024-12-10,Rajesh,Refrigerator,Jaipur,Vritti Kapoor,63646,2,Online,3471.2344859434997,23473.795245960184,36700.97026809632,Shipped,Net Banking,Social Media
2024-10-30,Karan,Smartphone,Chennai,Samesh Bawa,57170,1,Retail,6300.370171656217,11445.290868721768,39424.338959622015,Shipped,UPI,Direct Visit
2024-04-09,Vikram,Smartphone,Jaipur,Farhan Wali,24738,1,Retail,3314.853273026497,6747.682691593495,14675.464035380008,Completed,Debit Card,Direct Visit
2024-05-05,Neha,Washing Machine,Mumbai,Ubika Khatri,32884,2,Retail,3550.0,14334.623701083747,14999.376298916253,Pending,Credit Card,Advertisement
2024-02-19,Anjali,Camera,Mumbai,Vanya Jaggi,69271,1,Online,8065.113488487656,13441.911924661432,47763.97458685091,Returned,Cash on Delivery (COD),Social Media
2024-10-07,Karan,Smartwatch,Delhi,Chaman Atwal,14586,1,Online,2482.0,3666.976477841623,8437.023522158377,Cancelled,Cash on Delivery (COD),Advertisement
2024-03-26,Karan,Laptop,Bangalore,Manan Gopal,127824,2,Online,755.0,32712.01143449526,94356.98856550474,Shipped,Cash on Delivery (COD),Email
2024-12-30,Sushma,Smartwatch,Pune,Jackson Sura,6097,2,Online,818.2706862130332,1981.2835344279579,3297.445779359009,Shipped,Credit Card,Search Engine
2024-05-09,Rajesh,Air Conditioner,Bangalore,Tripti Dua,62487,2,Online,1090.0,26931.864227551676,34465.135772448324,Cancelled,UPI,Search Engine
2024-03-07,Neha,Camera,Pune,Gayathri Shetty,83144,1,Online,10435.772771682767,29515.35278082671,43192.874447490525,Pending,Net Banking,Social Media
2024-02-26,Amit,Smartwatch,Bangalore,Jackson Sura,5208,2,Online,2466.0,342.19033079070186,2399.809669209298,Returned,Cash on Delivery (COD),Direct Visit
2024-10-11,Ravi,Tablet,Pune,Ekanta Gopal,12393,1,Retail,3599.0,2403.040437619663,6390.959562380337,Completed,Cash on Delivery (COD),Referral
2024-05-17,Rajesh,Tablet,Jaipur,Ubika Kari,33185,1,Retail,3341.7291176149224,12753.787399062727,17089.48348332235,Cancelled,Net Banking,Email
2024-04-26,Neha,Bluetooth Speaker,Delhi,Kalpit Sarkar,7773,1,Retail,4593.0,-783.0560664146797,3963.0560664146797,Returned,Debit Card,Social Media
2024-10-20,Vikram,Headphones,Chennai,Brijesh Bandi,4553,3,Retail,2120.0,519.8729272676919,1913.127072732308,Pending,UPI,Email
2024-07-24,Vikram,Laptop,Delhi,Bhavna Nath,58607,1,Online,8306.047701155208,9146.422359362905,41154.52993948189,Completed,Debit Card,Email
2024-02-11,Anjali,Headphones,Chennai,Bhavna Nath,7676,4,Online,1445.1905402406562,2369.6711765698383,3861.1382831895053,Completed,UPI,Email
2025-01-13,Ravi,Laptop,Mumbai,Jairaj Nagy,103283,1,Online,2877.0,37342.66309556429,63063.33690443571,Cancelled,Net Banking,Social Media
2024-10-09,Neha,Bluetooth Speaker,Ahmedabad,Suhani Patil,5224,3,Online,1124.4450317577027,2041.9949076149821,2057.560060627315,Completed,UPI,Email
2024-05-26,Neha,Tablet,Chennai,Vedhika Ram,38383,1,Retail,4513.729831125195,11738.233838606557,22131.03633026825,Cancelled,Debit Card,Social Media
2024-07-29,Ravi,Laptop,Chennai,Chakrika Kadakia,60411,2,Retail,983.0,21411.416201650252,38016.58379834975,Pending,Cash on Delivery (COD),Search Engine
2024-06-04,Priya,Headphones,Delhi,Omisha Gera,2196,1,Retail,2151.0,-1090.0065421196803,1135.0065421196803,Pending,Net Banking,Search Engine
2024-01-29,Neha,Air Conditioner,Bangalore,Kalpit Sarkar,52393,1,Online,6287.696512743099,19778.17181181814,26327.13167543876,Cancelled,Cash on Delivery (COD),Email
2024-03-12,Neha,Refrigerator,Mumbai,Chakrika Kadakia,32572,2,Retail,8044.6367179485815,7626.224873930326,16901.138408121093,Pending,Cash on Delivery (COD),Social Media
2024-12-26,Rajesh,Bluetooth Speaker,Pune,Ubika Kari,5750,4,Retail,1167.5389369221402,2476.77922431247,2105.68183876539,Shipped,Cash on Delivery (COD),Email
2024-01-26,Rajesh,Smartphone,Delhi,Garima Srivastava,24511,4,Online,4924.632102564539,5694.16560063665,13892.20229679881,Cancelled,Net Banking,Email
2024-09-18,Vikram,Air Conditioner,Kolkata,Niharika Sachdeva,47947,1,Online,1136.0,16610.589368986228,30200.410631013772,Returned,UPI,Advertisement
2024-05-13,Sushma,Laptop,Mumbai,Sanaya Purohit,105687,2,Online,15677.757483484784,18481.520247166547,71527.72226934867,Pending,UPI,Referral
2024-02-10,Priya,Bluetooth Speaker,Kolkata,Triya Mohanty,1204,5,Retail,190.2188977790174,423.5326536179882,590.2484486029944,Returned,UPI,Referral
2024-01-26,Amit,Smartwatch,Ahmedabad,Akshay Ghosh,5081,1,Online,1165.0,883.5231321633137,3032.4768678366863,Shipped,Net Banking,Direct Visit
2024-02-04,Amit,Refrigerator,Pune,Krishna Sood,34870,2,Retail,8358.814546040638,7656.683652516269,18854.501801443093,Returned,Cash on Delivery (COD),Advertisement
2024-05-09,Amit,Washing Machine,Ahmedabad,Anmol Rai,53279,2,Retail,6182.576826529286,18388.44403693945,28707.979136531263,Completed,UPI,Email
2024-05-30,Amit,Washing Machine,Pune,Vanya Jaggi,45534,1,Online,3810.129929262096,18877.169750492954,22846.70032024495,Shipped,Debit Card,Social Media
2024-04-03,Karan,Refrigerator,Chennai,Krish Lala,34491,2,Retail,6023.761939297415,8731.583801394809,19735.654259307776,Pending,Net Banking,Social Media
2024-04-03,Sushma,Air Conditioner,Ahmedabad,Meghana Ravi,68693,1,Retail,3118.0,22470.023641349195,43104.976358650805,Pending,Debit Card,Search Engine
2024-10-11,Karan,Air Conditioner,Kolkata,Sneha Singhal,35350,2,Retail,4880.914280141034,11812.933781712894,18656.15193814607,Completed,UPI,Direct Visit
2025-01-07,Karan,Washing Machine,Mumbai,Kavya Bhat,24827,2,Online,5395.336890959639,7202.698506301616,12228.964602738744,Pending,Cash on Delivery (COD),Email
2024-12-27,Karan,Laptop,Lucknow,Fitan Hans,145128,1,Online,7824.1094648281705,36766.11565066004,100537.77488451179,Cancelled,Net Banking,Advertisement
2024-12-01,Rajesh,Smartphone,Chennai,Sneha Singhal,45016,4,Retail,2387.9452144093884,15746.341283965005,26881.713501625607,Shipped,Credit Card,Referral
2024-08-06,Priya,Camera,Hyderabad,Wridesh Dora,87502,1,Retail,4868.0,36622.50151588794,46011.49848411206,Completed,Cash on Delivery (COD),Referral
2024-03-22,Rajesh,Camera,Hyderabad,Vedika Chacko,80033,2,Online,4029.0,31140.454756187763,44863.54524381224,Pending,Debit Card,Email
2024-07-20,Manoj,Air Conditioner,Hyderabad,Dalbir Karan,56761,2,Retail,2025.0,22145.90555944808,32590.09444055192,Shipped,Debit Card,Advertisement
2024-01-21,Priya,Headphones,Chennai,Vritti Kapoor,5031,4,Retail,2373.0,-135.2137700937078,2793.213770093708,Returned,Credit Card,Advertisement
2024-11-30,Ravi,Washing Machine,Lucknow,Ekapad Wason,39232,1,Online,2184.0,16797.891215612013,20250.108784387987,Pending,Credit Card,Direct Visit
2024-10-04,Manoj,Refrigerator,Lucknow,Bina Kant,38881,1,Retail,2959.285677757683,15887.850074026972,20033.864248215345,Cancelled,UPI,Advertisement
2024-07-03,Manoj,Smartphone,Kolkata,Rehaan Rajan,12178,1,Retail,3158.0,1387.9906029718159,7632.009397028184,Shipped,Credit Card,Search Engine
2024-08-23,Vikram,Smartphone,Pune,Zaid Tak,54183,1,Online,7920.847462321399,16163.16751690627,30098.985020772332,Completed,UPI,Advertisement
2024-10-17,Vikram,Tablet,Pune,Neelima Sagar,27553,1,Retail,2497.0,8217.146570589295,16838.853429410705,Cancelled,UPI,Direct Visit
2024-09-26,Anjali,Air Conditioner,Mumbai,Nikita Bera,54891,1,Online,3079.0,24339.39805767171,27472.60194232829,Pending,Cash on Delivery (COD),Social Media
2024-12-22,Neha,Tablet,Jaipur,Kalpit Sarkar,26510,2,Retail,4651.153344446123,6685.491700046227,15173.35495550765,Pending,Credit Card,Email
2024-11-16,Sushma,Refrigerator,Mumbai,Lajita Balasubramanian,69175,2,Online,4798.426656417271,24753.599756955045,39622.97358662768,Cancelled,UPI,Referral
2024-03-09,Karan,Headphones,Bangalore,Vedant Saran,6916,4,Online,1251.406159540999,1706.7208981484396,3957.8729423105615,Pending,Debit Card,Direct Visit
2024-06-04,Ravi,Laptop,Hyderabad,Yagnesh Rajagopalan,73252,2,Retail,2427.0,26337.98683310543,44487.01316689457,Shipped,Cash on Delivery (COD),Email
2024-04-11,Sushma,Laptop,Kolkata,Nikita Bera,50592,2,Online,4508.298206573139,9437.707450593132,36645.99434283373,Shipped,UPI,Referral
2024-04-25,Neha,Smartphone,Chennai,Ikshita Narayanan,59153,2,Retail,3446.0,20962.77534539836,34744.22465460164,Cancelled,Cash on Delivery (COD),Direct Visit
2024-10-20,Ravi,Laptop,Delhi,Harshil Raju,72864,1,Online,3414.0,15476.960889271526,53973.039110728474,Completed,UPI,Social Media
2025-01-13,Anjali,Bluetooth Speaker,Bangalore,Udant Saha,5748,3,Retail,1404.550488252315,1665.5039096998707,2677.945602047814,Shipped,Net Banking,Referral
2024-12-31,Rajesh,Laptop,Pune,Ekanta Gopal,142407,1,Retail,383.0,48268.240700807786,93755.75929919221,Returned,Credit Card,Direct Visit
2024-09-22,Ravi,Washing Machine,Lucknow,Chanakya Mannan,41089,1,Online,4410.080700286942,17087.53596104213,19591.383338670927,Pending,Credit Card,Search Engine
2024-10-04,Vikram,Air Conditioner,Bangalore,Dalbir Karan,62285,1,Online,1846.0,21580.450647951475,38858.549352048525,Cancelled,UPI,Search Engine
2024-05-07,Karan,Bluetooth Speaker,Delhi,Avi Sen,8818,3,Online,683.0,3499.7122536022625,4635.2877463977375,Shipped,Credit Card,Direct Visit
2024-11-11,Manoj,Headphones,Chennai,Brijesh Bandi,1207,3,Retail,3513.0,-2841.707072319171,535.7070723191707,Completed,Credit Card,Email
2024-03-01,Ravi,Refrigerator,Mumbai,Avi Sen,28508,1,Retail,1383.0,12350.426331686294,14774.573668313706,Returned,Credit Card,Advertisement
2024-03-25,Karan,Air Conditioner,Bangalore,Garima Srivastava,40423,1,Online,1281.0,13533.345865244504,25608.654134755496,Shipped,UPI,Referral
2024-05-29,Amit,Refrigerator,Hyderabad,Rehaan Rajan,41583,1,Online,2020.0,14586.104822323821,24976.89517767618,Shipped,Credit Card,Direct Visit
2024-05-18,Ravi,Air Conditioner,Ahmedabad,Jackson Sura,27066,2,Online,4769.774205416977,6309.433843947762,15986.791950635261,Pending,Credit Card,Search Engine
2024-06-24,Anjali,Camera,Chennai,Jairaj Sankaran,36838,2,Retail,1157.0,14902.13080521884,20778.86919478116,Cancelled,Debit Card,Social Media
2024-05-31,Rajesh,Camera,Bangalore,Chandresh Wason,77875,2,Retail,19395.92805732953,14228.211019154933,44250.86092351554,Pending,Net Banking,Email
2024-10-05,Anjali,Air Conditioner,Jaipur,Gayathri Dugar,50179,2,Retail,11600.791338186687,13224.906249944359,25353.302411868954,Shipped,UPI,Social Media
2024-02-11,Amit,Washing Machine,Lucknow,Gunbir Raman,26468,1,Online,4802.0,7089.79984046692,14576.20015953308,Returned,Credit Card,Email
2024-02-15,Sushma,Tablet,Hyderabad,Gayathri Shetty,24093,1,Retail,5479.448948497705,3473.936669054775,15139.61438244752,Returned,UPI,Email
2024-01-19,Amit,Washing Machine,Mumbai,Netra Kashyap,50768,1,Online,2099.0,24427.343407529297,24241.656592470703,Cancelled,Credit Card,Search Engine
2024-09-28,Anjali,Tablet,Kolkata,Gaurika Vohra,32239,1,Online,4314.76919875092,11217.798484642208,16706.43231660687,Completed,Cash on Delivery (COD),Search Engine
2024-07-05,Rajesh,Bluetooth Speaker,Bangalore,Nikita Bera,7995,5,Online,288.0,4023.942708843413,3683.0572911565864,Returned,Debit Card,Search Engine
2024-04-21,Karan,Washing Machine,Lucknow,Meghana Ravi,45595,2,Retail,6333.732406923486,13426.589939873946,25834.67765320257,Completed,Debit Card,Referral
2024-11-03,Vikram,Air Conditioner,Mumbai,Dalbir Karan,66976,2,Retail,8590.865150430125,20663.611583579586,37721.52326599029,Completed,Debit Card,Referral
2024-10-10,Vikram,Camera,Ahmedabad,Saumya Ratti,37667,2,Retail,837.0,11541.689660068587,25288.310339931413,Returned,Cash on Delivery (COD),Referral
2024-06-03,Ravi,Camera,Pune,Krishna Sood,38260,1,Online,282.0,12649.995562618278,25328.00443738172,Pending,UPI,Social Media
2024-07-27,Amit,Tablet,Lucknow,Suhani Patil,15383,1,Online,2528.9538635872436,4289.044636316732,8565.001500096025,Completed,UPI,Direct Visit
2024-05-28,Rajesh,Smartphone,Ahmedabad,Zaid Tak,27619,4,Retail,3972.9665306382904,7721.679307623217,15924.354161738493,Completed,Debit Card,Advertisement
2024-04-25,Sushma,Tablet,Delhi,Harshil Raju,6622,1,Retail,760.0,1930.8513592457607,3931.1486407542393,Returned,UPI,Referral
